year,county,facilityType,vmt,laneMiles,minElast,maxElast
2017,DORCHESTER,Urban Minor Arterial,16,13.224,0.5,0.7
2017,DORCHESTER,Urban Collector (Major and Minor),22,42.249001,0.5,0.7
2017,DORCHESTER,Urban Local,6,131.09801,0.3,0.5
2017,FREDERICK,Rural Interstate/Freeway/Expressway,498,109.588,0.7,1
2017,FREDERICK,Rural Primary Arterial - Other,48,35.967999,0.7,1
2017,FREDERICK,Rural Minor Arterial,125,130.20399,0.5,0.7
2017,FREDERICK,Rural Collector (Major and Minor),181,446.552,0.5,0.7
2017,FREDERICK,Rural Local,169,1359.287,0.3,0.5
2017,FREDERICK,Urban Interstate/Freeway/Expressway,0,271.25299,0.7,1
2017,FREDERICK,Urban Primary Arterial - Other,131,50.012001,0.7,1
2017,FREDERICK,Urban Minor Arterial,293,187.554,0.5,0.7
2017,FREDERICK,Urban Collector (Major and Minor),342,350.73599,0.5,0.7
2017,FREDERICK,Urban Local,146,1257.171,0.3,0.5
2017,GARRETT,Rural Interstate/Freeway/Expressway,182,148.87399,0.7,1
2017,GARRETT,Rural Primary Arterial - Other,94,94.914001,0.7,1
2017,GARRETT,Rural Minor Arterial,64,117.914,0.5,0.7
2017,GARRETT,Rural Collector (Major and Minor),88,434.23001,0.5,0.7
2017,GARRETT,Rural Local,84,1179.42,0.3,0.5
2017,GARRETT,Urban Interstate/Freeway/Expressway,0,0,0.7,1
2017,GARRETT,Urban Primary Arterial - Other,0,0,0.7,1
2017,GARRETT,Urban Minor Arterial,1,2.428,0.5,0.7
2017,GARRETT,Urban Collector (Major and Minor),0,0.98000002,0.5,0.7
2017,GARRETT,Urban Local,0,5.7919998,0.3,0.5
2017,HARFORD,Rural Interstate/Freeway/Expressway,71,13.38,0.7,1
2017,HARFORD,Rural Primary Arterial - Other,80,34.799999,0.7,1
2017,HARFORD,Rural Minor Arterial,140,85.974998,0.5,0.7
2017,HARFORD,Rural Collector (Major and Minor),149,293.64999,0.5,0.7
2017,HARFORD,Rural Local,83,717.45502,0.3,0.5
2017,HARFORD,Urban Interstate/Freeway/Expressway,862,145.627,0.7,1
2017,HARFORD,Urban Primary Arterial - Other,372,142.69701,0.7,1
2017,HARFORD,Urban Minor Arterial,380,155.295,0.5,0.7
2017,HARFORD,Urban Collector (Major and Minor),329,314.64999,0.5,0.7
2017,HARFORD,Urban Local,135,1253.1801,0.3,0.5
2017,HOWARD,Rural Interstate/Freeway/Expressway,317,67.428001,0.7,1
2017,HOWARD,Rural Primary Arterial - Other,107,26.643999,0.7,1
2017,HOWARD,Rural Minor Arterial,33,15.702,0.5,0.7
2017,HOWARD,Rural Collector (Major and Minor),101,125.964,0.5,0.7
2017,HOWARD,Rural Local,112,426.45401,0.3,0.5
2017,HOWARD,Urban Interstate/Freeway/Expressway,0,320.33899,0.7,1
2017,HOWARD,Urban Primary Arterial - Other,265,84.879997,0.7,1
2017,HOWARD,Urban Minor Arterial,496,196.601,0.5,0.7
2017,HOWARD,Urban Collector (Major and Minor),345,248.08099,0.5,0.7
2017,HOWARD,Urban Local,237,1316.6801,0.3,0.5
2017,KENT,Rural Interstate/Freeway/Expressway,30,34.860001,0.7,1
2017,KENT,Rural Primary Arterial - Other,0,0,0.7,1
2017,KENT,Rural Minor Arterial,26,35.68,0.5,0.7
2017,KENT,Rural Collector (Major and Minor),97,254.26801,0.5,0.7
2017,KENT,Rural Local,27,572.47198,0.3,0.5
2017,KENT,Urban Interstate/Freeway/Expressway,0,0,0.7,1
2017,KENT,Urban Primary Arterial - Other,0,0,0.7,1
2017,KENT,Urban Minor Arterial,15,6.75,0.5,0.7
2017,KENT,Urban Collector (Major and Minor),12,13.272,0.5,0.7
2017,KENT,Urban Local,2,44.776001,0.3,0.5
2017,MONTGOMERY,Rural Interstate/Freeway/Expressway,69,9,0.7,1
2017,MONTGOMERY,Rural Primary Arterial - Other,15,4.79,0.7,1
2017,MONTGOMERY,Rural Minor Arterial,63,40.939999,0.5,0.7
2017,MONTGOMERY,Rural Collector (Major and Minor),116,181.196,0.5,0.7
2017,MONTGOMERY,Rural Local,49,399.5,0.3,0.5
2017,MONTGOMERY,Urban Interstate/Freeway/Expressway,0,447.98901,0.7,1
